step,epoch,loss,learning_rate,grad_norm,source_job,source_file
570,0.1,65.8231,9.043795620437957e-06,22.03082847595215,308081,slurm_train_fusellm_resume-308081.out
580,0.1,65.2945,9.025547445255475e-06,22.766176223754883,308081,slurm_train_fusellm_resume-308081.out
590,0.11,64.7095,9.007299270072994e-06,21.3642635345459,308081,slurm_train_fusellm_resume-308081.out
600,0.11,65.5295,8.989051094890512e-06,22.903654098510742,308081,slurm_train_fusellm_resume-308081.out
610,0.11,65.0632,8.97080291970803e-06,22.64197540283203,308081,slurm_train_fusellm_resume-308081.out
620,0.11,65.4426,8.952554744525547e-06,22.81499671936035,308081,slurm_train_fusellm_resume-308081.out
630,0.11,64.928,8.934306569343067e-06,21.642301559448242,308081,slurm_train_fusellm_resume-308081.out
640,0.12,64.6353,8.916058394160584e-06,22.194507598876953,308081,slurm_train_fusellm_resume-308081.out
650,0.12,65.7854,8.897810218978102e-06,22.290103912353516,308081,slurm_train_fusellm_resume-308081.out
660,0.12,64.902,8.879562043795622e-06,22.587400436401367,308081,slurm_train_fusellm_resume-308081.out
670,0.12,65.7372,8.86131386861314e-06,23.3161563873291,308081,slurm_train_fusellm_resume-308081.out
680,0.12,65.4177,8.843065693430659e-06,24.05220603942871,308081,slurm_train_fusellm_resume-308081.out
690,0.12,65.1642,8.824817518248175e-06,21.97554588317871,308081,slurm_train_fusellm_resume-308081.out
700,0.13,64.92,8.806569343065694e-06,23.09673500061035,308081,slurm_train_fusellm_resume-308081.out
710,0.13,65.6564,8.788321167883212e-06,22.243661880493164,308081,slurm_train_fusellm_resume-308081.out
720,0.13,64.6,8.770072992700731e-06,21.6563663482666,308081,slurm_train_fusellm_resume-308081.out
730,0.13,64.8168,8.751824817518249e-06,35.65140914916992,308081,slurm_train_fusellm_resume-308081.out
740,0.13,64.8839,8.733576642335767e-06,22.081623077392578,308081,slurm_train_fusellm_resume-308081.out
750,0.14,65.7676,8.715328467153286e-06,25.260635375976562,308081,slurm_train_fusellm_resume-308081.out
760,0.14,65.1611,8.697080291970804e-06,22.226655960083008,308081,slurm_train_fusellm_resume-308081.out
770,0.14,65.4847,8.678832116788322e-06,21.62540054321289,308081,slurm_train_fusellm_resume-308081.out
780,0.14,64.7703,8.660583941605841e-06,22.634815216064453,308081,slurm_train_fusellm_resume-308081.out
790,0.14,64.7687,8.642335766423359e-06,42.230918884277344,308081,slurm_train_fusellm_resume-308081.out
800,0.14,65.5108,8.624087591240876e-06,22.787561416625977,308081,slurm_train_fusellm_resume-308081.out
810,0.15,65.1159,8.605839416058394e-06,22.763872146606445,308081,slurm_train_fusellm_resume-308081.out
820,0.15,64.9724,8.587591240875914e-06,22.958024978637695,308081,slurm_train_fusellm_resume-308081.out
830,0.15,65.2767,8.569343065693431e-06,22.187694549560547,308081,slurm_train_fusellm_resume-308081.out
840,0.15,65.4042,8.551094890510949e-06,22.407732009887695,308081,slurm_train_fusellm_resume-308081.out
850,0.15,65.8906,8.532846715328468e-06,26.79764175415039,308081,slurm_train_fusellm_resume-308081.out
860,0.16,65.5445,8.514598540145986e-06,27.10004997253418,308081,slurm_train_fusellm_resume-308081.out
870,0.16,64.6398,8.496350364963506e-06,23.64140510559082,308081,slurm_train_fusellm_resume-308081.out
880,0.16,65.246,8.478102189781022e-06,27.162044525146484,308081,slurm_train_fusellm_resume-308081.out
890,0.16,64.6458,8.459854014598541e-06,27.444995880126953,308081,slurm_train_fusellm_resume-308081.out
900,0.16,65.6991,8.441605839416059e-06,22.295175552368164,308081,slurm_train_fusellm_resume-308081.out
910,0.16,64.6985,8.423357664233576e-06,23.412364959716797,308081,slurm_train_fusellm_resume-308081.out
920,0.17,65.2855,8.405109489051096e-06,21.443256378173828,308081,slurm_train_fusellm_resume-308081.out
930,0.17,64.9915,8.386861313868614e-06,21.417072296142578,308081,slurm_train_fusellm_resume-308081.out
940,0.17,65.9754,8.368613138686133e-06,21.79865837097168,308081,slurm_train_fusellm_resume-308081.out
950,0.17,65.0886,8.35036496350365e-06,22.06629753112793,308081,slurm_train_fusellm_resume-308081.out
960,0.17,64.7339,8.332116788321168e-06,23.321258544921875,308081,slurm_train_fusellm_resume-308081.out
970,0.18,64.7562,8.313868613138688e-06,22.540748596191406,308081,slurm_train_fusellm_resume-308081.out
980,0.18,65.4412,8.295620437956205e-06,21.967069625854492,308081,slurm_train_fusellm_resume-308081.out
990,0.18,65.1075,8.277372262773723e-06,23.64174461364746,308081,slurm_train_fusellm_resume-308081.out
1000,0.18,65.4109,8.259124087591241e-06,24.12096405029297,308081,slurm_train_fusellm_resume-308081.out
1010,0.18,64.3404,8.24087591240876e-06,21.514368057250977,308081,slurm_train_fusellm_resume-308081.out
